config_id,actor_lr_min,base_noise,ne_max,ach_max,ne_k,ach_k,ne_center,ach_center,critic_base_lr
25,5e-05,1.0,1.0,0.5,0.1,4.0,15.0,5.0,0.0003
26,0.0001,0.25,1.0,0.5,0.2,4.0,10.0,5.0,0.003
27,0.0001,0.5,1.0,0.5,0.2,10.0,10.0,8.0,0.003
28,1e-05,0.25,1.0,1.0,0.1,4.0,15.0,5.0,0.001
29,5e-05,0.25,1.0,0.5,0.1,10.0,15.0,5.0,0.003
30,1e-05,1.0,1.0,1.0,0.2,4.0,10.0,8.0,0.001
31,0.0001,0.25,1.0,0.5,0.1,10.0,10.0,8.0,0.003
32,1e-05,1.0,3.0,1.0,0.1,4.0,15.0,5.0,0.003
33,5e-05,1.0,3.0,1.0,0.1,4.0,15.0,8.0,0.003
34,1e-05,0.5,3.0,0.5,0.1,10.0,10.0,5.0,0.001
35,5e-05,1.0,1.0,1.0,0.2,10.0,15.0,5.0,0.001
36,1e-05,0.25,1.0,0.5,0.1,10.0,15.0,8.0,0.0003
37,5e-05,0.5,1.0,0.5,0.2,4.0,10.0,8.0,0.001
38,1e-05,0.5,1.0,1.0,0.2,4.0,15.0,5.0,0.0003
39,0.0001,0.5,1.0,1.0,0.1,10.0,15.0,8.0,0.0003
40,0.0001,0.5,1.0,1.0,0.1,10.0,10.0,8.0,0.003
41,1e-05,0.5,1.0,0.5,0.2,10.0,15.0,5.0,0.0003
42,1e-05,1.0,1.0,0.5,0.1,10.0,10.0,8.0,0.001
43,1e-05,0.5,3.0,0.5,0.2,10.0,15.0,8.0,0.0003
44,5e-05,0.5,3.0,0.5,0.2,4.0,10.0,5.0,0.003
45,1e-05,0.5,3.0,1.0,0.2,4.0,15.0,5.0,0.0003
46,0.0001,1.0,3.0,1.0,0.2,4.0,10.0,5.0,0.0003
47,0.0001,1.0,3.0,1.0,0.2,10.0,15.0,8.0,0.0003
48,0.0001,0.25,3.0,0.5,0.1,10.0,15.0,5.0,0.001
49,0.0001,0.5,1.0,1.0,0.1,4.0,15.0,5.0,0.001
50,1e-05,0.25,1.0,1.0,0.2,4.0,10.0,5.0,0.003
51,0.0001,0.5,3.0,1.0,0.2,4.0,15.0,5.0,0.003
52,0.0001,0.25,3.0,1.0,0.2,10.0,10.0,5.0,0.0003
53,0.0001,1.0,1.0,0.5,0.1,10.0,15.0,8.0,0.001
54,1e-05,0.5,3.0,0.5,0.1,4.0,10.0,5.0,0.001
55,1e-05,1.0,3.0,0.5,0.2,4.0,15.0,8.0,0.0003
56,1e-05,0.25,3.0,1.0,0.1,4.0,10.0,8.0,0.003
57,5e-05,1.0,1.0,0.5,0.1,4.0,10.0,8.0,0.003
58,5e-05,0.5,3.0,0.5,0.1,10.0,10.0,8.0,0.003
59,1e-05,0.25,3.0,0.5,0.1,4.0,15.0,8.0,0.001
60,1e-05,0.5,1.0,1.0,0.1,4.0,15.0,5.0,0.003
61,0.0001,1.0,1.0,0.5,0.2,10.0,15.0,5.0,0.003
62,5e-05,1.0,3.0,1.0,0.1,4.0,15.0,5.0,0.003
63,1e-05,1.0,1.0,0.5,0.1,10.0,10.0,5.0,0.003
64,0.0001,1.0,3.0,1.0,0.1,10.0,10.0,5.0,0.0003
65,5e-05,0.5,1.0,0.5,0.1,4.0,10.0,8.0,0.0003
66,0.0001,0.5,3.0,1.0,0.1,4.0,10.0,5.0,0.0003
67,0.0001,0.25,1.0,0.5,0.1,10.0,10.0,5.0,0.003
68,1e-05,0.25,1.0,1.0,0.1,10.0,15.0,8.0,0.001
69,5e-05,0.5,1.0,1.0,0.2,10.0,10.0,8.0,0.003
70,1e-05,0.25,3.0,0.5,0.1,4.0,15.0,8.0,0.0003
71,5e-05,0.25,1.0,1.0,0.2,10.0,15.0,5.0,0.001
72,1e-05,0.25,3.0,1.0,0.2,10.0,15.0,8.0,0.0003
73,5e-05,1.0,3.0,0.5,0.1,10.0,10.0,5.0,0.0003
74,1e-05,0.25,3.0,1.0,0.1,10.0,10.0,5.0,0.0003
75,0.0001,1.0,3.0,1.0,0.2,4.0,15.0,5.0,0.0003
76,1e-05,1.0,3.0,1.0,0.2,4.0,10.0,8.0,0.001
77,5e-05,0.25,1.0,1.0,0.1,4.0,15.0,5.0,0.001
78,5e-05,1.0,3.0,0.5,0.1,4.0,15.0,8.0,0.001
79,5e-05,0.5,1.0,0.5,0.2,4.0,15.0,8.0,0.0003
80,1e-05,1.0,3.0,0.5,0.1,10.0,10.0,8.0,0.001
81,1e-05,0.25,3.0,1.0,0.2,10.0,15.0,5.0,0.001
82,0.0001,0.25,1.0,1.0,0.1,4.0,10.0,8.0,0.0003
83,0.0001,1.0,1.0,1.0,0.2,10.0,10.0,5.0,0.0003
84,1e-05,1.0,3.0,0.5,0.1,4.0,10.0,8.0,0.001
85,5e-05,0.25,3.0,0.5,0.2,4.0,10.0,8.0,0.001
86,1e-05,0.25,3.0,1.0,0.2,4.0,15.0,8.0,0.001
87,5e-05,0.25,3.0,1.0,0.2,4.0,15.0,5.0,0.0003
88,5e-05,0.5,1.0,1.0,0.2,10.0,15.0,5.0,0.0003
89,0.0001,1.0,1.0,1.0,0.1,10.0,15.0,5.0,0.003
90,1e-05,0.25,3.0,1.0,0.1,4.0,15.0,8.0,0.001
91,0.0001,0.25,1.0,1.0,0.1,10.0,10.0,5.0,0.0003
92,1e-05,1.0,1.0,1.0,0.1,10.0,10.0,8.0,0.0003
93,5e-05,0.25,1.0,0.5,0.1,4.0,15.0,8.0,0.0003
94,5e-05,0.25,1.0,0.5,0.2,10.0,15.0,8.0,0.0003
95,0.0001,0.5,3.0,0.5,0.1,10.0,15.0,8.0,0.003
96,5e-05,0.5,1.0,1.0,0.2,10.0,15.0,8.0,0.003
97,0.0001,0.5,3.0,1.0,0.1,10.0,15.0,8.0,0.0003
98,0.0001,0.25,1.0,1.0,0.1,4.0,15.0,5.0,0.001
99,5e-05,0.25,3.0,0.5,0.2,10.0,10.0,8.0,0.0003
